gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Acin1,NA,NA,-0.451488914,0.055205635,NA,NA,NA,NA,56215
Acly,0.341619798,0.079481371,0.253619859,0.039979573,0.135543322,0.183576988,0.047543384,0.596019185,104112
Aco1,-0.013010565,0.940501648,-0.04407023,0.683887893,-0.392535015,0.001332586,-0.42359468,0.000270015,11428
Aco2,-0.36404727,0.222773858,-0.161387436,0.436990751,-0.363257839,0.079219348,-0.160598005,0.359166087,11429
Acot1,NA,NA,0.108106498,0.72776066,NA,NA,NA,NA,26897
Acot11,0.411264595,0.214644339,-0.557883218,0.040754217,-0.522314935,0.02895915,-1.491462748,6.96E-06,329910
Acot13,-0.597197682,0.172573343,-0.479640767,0.110165652,0.969037764,0.003816473,1.086594678,0.00067198,66834
Acot2,-0.24092856,0.366786399,-0.276696743,0.14652116,-0.344569994,0.071358347,-0.380338177,0.02795929,171210
Acot7,0.197403897,0.246819888,0.215617321,0.087148099,-0.608994648,0.000174816,-0.590781225,7.15E-05,70025
Acot8,0.475301043,0.095468167,0.338265898,0.055205635,0.371378868,0.024182507,0.234343724,0.086720078,170789
Acot9,-0.238612479,0.355935814,-0.350237566,0.076537138,1.51220451,3.29E-06,1.400579423,1.77E-06,56360
Acox1,0.231309009,0.180013952,0.328644273,0.033108952,0.667810242,7.09E-05,0.765145506,6.56E-06,11430
Acox3,0.131104308,0.596805451,0.106281806,0.550152445,0.03668329,0.840138291,0.011860788,0.939508667,80911
Acp1,-0.470501774,0.215449396,-0.143198352,0.603982027,0.726612804,0.011113778,1.053916226,0.000384052,11431
Acp2,0.216497897,0.224810912,0.225206443,0.085484107,-0.588200946,0.000309591,-0.579492401,0.000114887,11432
Acp3,0.643544914,0.162019415,0.781509839,0.035106667,2.025624155,1.68E-05,2.16358908,2.64E-06,56318
Acp5,-0.09985432,0.871556885,-0.134140894,0.751175927,0.474349027,0.213432259,0.440062453,0.186591006,11433
Acp6,0.060544587,0.691123637,0.069632456,0.510845249,0.230627786,0.032425572,0.239715655,0.014052615,66659
Acp7,-0.06853536,0.804029914,-0.338576012,0.076960582,-1.981006557,2.52E-07,-2.251047209,2.17E-08,101744
Acsf2,-0.665194404,0.070027071,-0.539221616,0.031561682,0.170615851,0.353563774,0.296588639,0.07367454,264895
Acsl1,0.014335844,0.940555975,0.145422519,0.189310352,0.034854013,0.761883213,0.165940688,0.087792516,14081
Acsl3,-0.527291918,0.47855238,NA,NA,NA,NA,NA,NA,74205
Acsl4,-0.326493178,0.158176837,-0.316161797,0.057249116,0.958755954,2.62E-05,0.969087334,6.78E-06,50790
Acsl5,-0.103323778,0.468342725,-0.293731281,0.030892536,-0.20169224,0.049440676,-0.392099743,0.000479917,433256
Acsl6,-1.055607147,0.172573343,-0.470202921,0.360810544,-0.766160059,0.132881573,-0.180755833,0.687277057,216739
Acss1,-0.560751876,0.203632774,-0.769322056,0.037686329,-0.122339431,0.688826609,-0.330909612,0.202041818,68738
Acss2,0.203580879,0.408682405,0.02786915,0.890717615,0.935400403,0.000124378,0.759688675,0.00021196,60525
Acta1,0.206337242,0.484931049,0.172444238,0.410060475,-0.34450876,0.098039537,-0.378401764,0.043631876,11459
Actb,0.081071904,0.773367471,-0.363413356,0.070002888,0.253339048,0.162553289,-0.191146211,0.224308106,11461
Actc1,NA,NA,0.447522683,0.329057166,NA,NA,NA,NA,11464
Actg1,0.702185441,0.304431275,0.17550355,0.739168082,0.143642848,0.774582122,-0.383039043,0.350841295,11465
Actg2,-1.369802989,0.124324397,0.13785105,0.819892996,-3.165980677,6.26E-05,-1.658326638,0.002748225,11468
Actl6a,0.038782445,0.822265137,0.046282113,0.696156852,0.096290479,0.368305445,0.103790148,0.267213768,56456
Actn1,0.317917179,0.16513174,0.32686024,0.052451614,-0.274203535,0.067710834,-0.265260474,0.046421779,109711
Actn2,-0.826863075,0.194564179,0.162434635,0.732153646,-1.506472003,0.002946597,-0.517174293,0.166797449,11472
Actn3,-0.935523408,0.170077618,0.09800009,0.849170564,-1.703584375,0.001553735,-0.670060877,0.086324893,11474
Actn4,1.082359519,0.157108928,0.341502078,0.493103229,-0.390994215,0.413984193,-1.131851656,0.013983725,60595
Actn4,0.159763142,0.235953183,0.096768636,0.298638551,0.234030831,0.019007449,0.171036326,0.042505436,60595
Actr10,0.137686484,0.307519029,0.186679877,0.071654244,0.181579054,0.060377423,0.230572448,0.010998752,56444
Actr1a,-0.174861412,0.329366245,-0.080699143,0.539368461,-0.340477585,0.013531143,-0.246315315,0.03325283,54130
Actr1b,-0.121933739,0.587341875,-0.304243149,0.072628153,-0.224996368,0.145311603,-0.407305778,0.007184816,226977
Actr2,0.267953604,0.204372654,0.234233639,0.115272335,-0.083124321,0.562891619,-0.116844287,0.343468648,66713
Actr3,0.216658259,0.304845681,0.309965124,0.060715662,0.105466112,0.47108765,0.198772977,0.123333956,74117
Actr3,0.547446298,0.587720695,0.217050476,0.777098179,1.692589425,0.022438174,1.362193603,0.032542631,74117
Actr8,0.142906174,0.554833868,0.103675662,0.550735872,-1.214576179,1.05E-05,-1.253806691,2.18E-06,56249
Acy1,0.341546716,0.186009056,0.231002537,0.187167739,2.106270502,1.37E-07,1.995726323,5.30E-08,109652
Acyp1,0.1593208,0.284532296,0.121944796,0.239913479,0.465840664,0.000500705,0.42846466,0.000328401,66204
Acyp2,-0.566088665,0.145647588,-0.109445075,0.677520403,0.02605739,0.921909982,0.48270098,0.030817268,75572
Ada,0.747704715,0.104001993,0.772974401,0.030892536,-0.139209123,0.593920066,-0.113939437,0.616310332,11486
Adam10,-0.003384408,0.98189849,0.073132141,0.470980878,0.226444638,0.03031536,0.302961187,0.002897272,11487
Adam17,0.742374545,0.114966142,0.304392879,0.271899272,0.659025604,0.024341992,0.221043938,0.350619487,11491
Adam19,-0.072932981,0.88055958,NA,NA,NA,NA,NA,NA,11492
Adam8,0.601181491,0.138167432,0.473954815,0.078786268,-0.522586636,0.043092834,-0.649813312,0.00755787,11501
Adap1,-0.269743643,0.311556602,-0.217901813,0.244261035,-1.519152679,3.92E-06,-1.467310849,1.48E-06,231821
Adar,0.451020138,0.101428582,0.292383058,0.076944514,0.322006292,0.041630113,0.163369213,0.214001179,56417
Adat2,-0.237463388,0.492400112,NA,NA,NA,NA,NA,NA,66757
Adck1,0.754526475,0.118942239,0.089728076,0.777143011,-1.399890917,0.000280132,-2.064689316,3.27E-06,72113
Adcy7,NA,NA,0.147684168,0.341442964,NA,NA,NA,NA,11513
Add1,-0.407850168,0.173116313,-0.689198756,0.025674071,-0.327362385,0.100704359,-0.608710974,0.002765485,11518
Add2,-1.139663237,0.120312384,-1.147273802,0.036497697,0.69578578,0.115161974,0.688175216,0.077682468,11519
Add3,0.009354478,0.968472107,-0.150590869,0.257414786,0.005670388,0.969984862,-0.154274959,0.178958028,27360
Adgre1,-0.363328595,0.438773145,0.041752848,0.913678905,-1.456443161,0.000565765,-1.051361718,0.002137106,13733
Adgre5,0.378952713,0.107205526,0.281191085,0.062659656,0.456118282,0.003716374,0.358356654,0.006904232,26364
Adgrg3,0.56900071,0.086349443,0.540816877,0.030892536,2.147349101,1.44E-07,2.119165268,3.95E-08,54672
