gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Cct7,-0.673041831,0.382149634,-0.630689271,0.701593182,0.244804844,0.845649522,0.202452284,0.835765681,12468
Cct8,-0.801916447,0.192945295,-0.148417634,0.873783619,-0.056463047,0.946347929,-0.70996186,0.249334309,12469
Cd14,0.617956385,0.345673951,-0.571867818,0.694654669,0.421858761,0.676295401,1.611682964,0.038625725,12475
Cd5l,1.031174959,0.169455926,0.045695902,0.981106434,-2.225248713,0.056790887,-1.239769656,0.101870887,11801
Cd93,0.839337466,0.134990376,-0.360083652,0.733939076,0.093278863,0.922086131,1.292699981,0.038625725,17064
Cd97,0.663513641,0.438558025,-0.477092933,0.749677919,-0.333621474,0.827002077,0.8069851,0.35617214,26364
Cdh5,1.780819546,0.153863742,-0.490422369,0.799688365,-0.00361899,0.99704776,2.267622925,0.071073394,12562
Cela2a,0.294218802,0.702685228,-0.670346707,0.701593182,0.535769001,0.676295401,1.500334511,0.082497068,13706
Ces1b,0.987847406,0.244090558,-0.233098789,0.87247331,-0.071492878,0.948998855,1.149453318,0.181955584,382044
Ces1c,-0.399206779,0.515901618,-0.246722916,0.821807957,0.058442384,0.946347929,-0.094041478,0.910654123,13884
Ces2e,-1.030814149,0.480027419,-0.653856559,0.794274695,0.438306313,0.849113941,0.061348723,0.986805512,234673
Ces3a,1.418602003,0.129548072,0.051202528,0.981106434,-0.66476835,0.581644312,0.702631126,0.407920374,382053
Cfh,0.722054108,0.283974098,0.240664928,0.843524622,0.398897443,0.680889214,0.880286622,0.193668901,12628
Cfhr1,0.842945472,0.133449581,-0.173133204,0.846241099,0.222623825,0.799731774,1.238702502,0.039254622,50702
Cfi,-0.209040114,0.653203462,-0.530454762,0.636038213,1.066155529,0.176725463,1.387570177,0.038625725,12630
Cfl1,-0.350334985,0.642706821,0.203721676,0.873783619,0.651704474,0.564338256,0.097647813,0.931576363,12631
Chil3,3.098013626,0.009482352,1.402760597,0.587536572,-1.357290477,0.25845001,0.337962553,0.728559754,12655
Chit1,3.749455543,0.007788853,1.094136089,0.636038213,-0.69742062,0.55193767,1.957898834,0.040041856,71884
Ckb,0.944796732,0.660401975,0.518226193,0.876743649,-1.007271551,0.776098627,-0.580701011,0.837379299,12709
Clec4f,0.261113838,0.571568922,-0.886149638,0.501258115,0.087232119,0.922086131,1.234495595,0.038625725,51811
Cltc,-1.061921278,0.134990376,0.217263613,0.846241099,0.662598558,0.518685,-0.616586333,0.35617214,67300
Clu,0.534540696,0.408116639,0.154082837,0.873783619,-0.378694192,0.680889214,0.001763666,0.997502492,12759
Cmpk1,0.267337149,0.577787422,-0.098260438,0.904925449,-0.560278588,0.512852857,-0.194681002,0.750543913,66588
